State,Land Area,Water Area,Total Area
Alabama,50644,1776,52420
Alaska,570665,94343,664988
Arizona,113595,396,113990
Arkansas,52030,1149,53178
California,155766,7928,163694
Colorado,103641,454,104094
Connecticut,4840,703,5544
Delaware,1949,539,2489
District of Columbia,67,7,68
Florida,53603,12154,65758
Georgia,57501,1924,59425
Hawaii,6428,4499,10926
Idaho,82643,926,83568
Illinois,55518,2398,57916
Indiana,35823,594,36417
Iowa,55858,415,56273
Kansas,81762,516,82278
Kentucky,39492,919,40411
Louisiana,43199,8789,51988
Maine,30841,4543,35384
Maryland,9705,2700,12406
Massachusetts,7801,2754,10554
Michigan,56528,40185,96713
Minnesota,79607,7328,86935
Mississippi,46920,1512,48432
Missouri,68716,987,69702
Montana,145541,1498,147039
Nebraska,76825,524,77349
Nevada,109780,792,110572
New Hampshire,8952,396,9348
New Jersey,7354,1369,8723
New Mexico,121297,293,121590
New York,47126,7429,54555
North Carolina,48619,5200,53819
North Dakota,69001,1697,70698
Ohio,40858,3967,44825
Oklahoma,68603,1296,69899
Oregon,95985,2394,98379
Pennsylvania,44739,1316,46055
Puerto Rico,3425,1900,5324
Rhode Island,1034,511,1545
South Carolina,30070,1951,32021
South Dakota,75811,1305,77116
Tennessee,41235,910,42144
Texas,261226,7371,268597
Utah,82191,2706,84897
Vermont,9217,400,9616
Virginia,39493,3282,42775
Washington,66449,4849,71298
West Virginia,24038,192,24230
Wisconsin,54154,11342,65496
Wyoming,97088,724,97812